Time(s),Flow(m3/s)
0.0,0.000000
600.0,0.037724
1200.0,0.097772
1800.0,0.288390
2400.0,0.557512
3000.0,0.819803
3600.0,1.249907
4200.0,1.733438
4800.0,2.116936
5400.0,2.459129
6000.0,2.831968
6600.0,3.247726
7200.0,3.630753
7800.0,4.093162
8400.0,4.689360
9000.0,5.348011
9600.0,6.080902
10200.0,6.874426
10800.0,7.783959
11400.0,8.817157
12000.0,9.751914
12600.0,10.872085
13200.0,11.933049
13800.0,13.152666
14400.0,14.449783
15000.0,15.786367
15600.0,17.537110
16200.0,19.361636
16800.0,21.282616
17400.0,23.339202
18000.0,25.405993
18600.0,27.622314
19200.0,30.270865
19800.0,32.932255
20400.0,35.785945
21000.0,38.517284
21600.0,41.382337
22200.0,44.363911
22800.0,47.386100
23400.0,50.455107
24000.0,53.653019
24600.0,57.040557
25200.0,60.543480
25800.0,64.118256
26400.0,67.918964
27000.0,71.824811
27600.0,75.751867
28200.0,79.836796
28800.0,84.078432
29400.0,88.494035
30000.0,93.100303
30600.0,97.916391
31200.0,102.958255
31800.0,108.241738
32400.0,113.788526
33000.0,119.625723
33600.0,125.781627
34200.0,132.288941
34800.0,139.185780
35400.0,146.537392
36000.0,154.489689
36600.0,163.211429
37200.0,173.237352
37800.0,184.574969
38400.0,197.725862
39000.0,212.540536
39600.0,228.632695
40200.0,246.778062
40800.0,266.323049
41400.0,287.329804
42000.0,311.756825
42600.0,342.705951
43200.0,393.585589
43800.0,451.146505
44400.0,547.175359
45000.0,626.161031
45600.0,667.067711
46200.0,749.218916
46800.0,783.077828
47400.0,740.220098
48000.0,706.007469
48600.0,709.346666
49200.0,731.237155
49800.0,739.012607
50400.0,792.946232
51000.0,879.249600
51600.0,942.265031
52200.0,999.249804
52800.0,1048.154032
53400.0,1108.198079
54000.0,1159.142940
54600.0,1132.548716
55200.0,1183.694345
55800.0,1181.101249
56400.0,1239.634647
57000.0,1291.378151
57600.0,1338.741747
58200.0,1504.598998
58800.0,1560.682922
59400.0,1576.170750
60000.0,1586.796896
60600.0,1554.601764
61200.0,1571.718378
61800.0,1681.960083
62400.0,1642.573722
63000.0,1596.532851
63600.0,1438.462057
64200.0,1343.557777
64800.0,1262.719541
65400.0,1153.587162
66000.0,1047.821754
66600.0,982.094323
67200.0,947.304687
67800.0,888.355148
68400.0,808.243205
69000.0,768.908253
69600.0,688.789865
70200.0,568.221824
70800.0,495.507004
71400.0,440.428241
72000.0,396.384012
72600.0,361.201944
73200.0,333.380887
73800.0,309.100538
74400.0,285.639870
75000.0,264.130024
75600.0,245.990762
76200.0,229.299717
76800.0,214.374440
77400.0,201.754063
78000.0,190.568725
78600.0,180.554391
79200.0,171.309879
79800.0,162.726853
80400.0,154.679363
81000.0,147.102678
81600.0,139.972407
82200.0,133.256351
82800.0,126.902043
83400.0,120.870951
84000.0,115.131428
84600.0,109.660277
85200.0,104.436902
85800.0,99.442925
86400.0,94.661884
87000.0,90.048671
87600.0,85.611190
88200.0,81.254458
88800.0,77.038319
89400.0,73.034033
90000.0,69.082944
90600.0,65.301633
91200.0,61.807109
91800.0,58.509959
92400.0,55.329145
93000.0,52.251204
93600.0,49.336213
94200.0,46.475255
94800.0,43.634358
95400.0,40.891670
96000.0,38.238489
96600.0,35.688725
97200.0,33.196814
97800.0,30.768270
98400.0,28.592883
99000.0,26.399633
99600.0,24.414274
100200.0,22.428996
100800.0,20.531553
101400.0,18.752435
102000.0,16.781251
102600.0,14.971171
103200.0,13.292134
103800.0,11.707176
104400.0,10.320862
105000.0,8.994435
105600.0,7.509936
106200.0,6.278205
106800.0,5.119474
107400.0,4.297249
108000.0,3.540260
108600.0,2.865371
109200.0,2.331570
109800.0,1.913685
110400.0,1.529258
111000.0,1.134099
111600.0,0.805643
112200.0,0.576205
112800.0,0.308943
113400.0,0.125378
114000.0,0.085062
114600.0,0.051078
115200.0,0.032617
115800.0,0.022211
116400.0,0.015575
117000.0,0.008688
117600.0,0.002625
118200.0,0.000000
